id_transaccion,id_cliente,monto,fecha,id_tienda
96,926,7698.60,28/03/2020,72
97,1091,3830.05,"Dec 14, 2022",15
98,704,3405.03,2020-07-05,41
99,1123,4377.18,18/07/2023,39
100,1184,785.50,"Feb 18, 2021",29
101,987,1330.41,2021-08-30,65
102,1069,7017.74,2022-08-24,27
103,383,6916.09,2020-08-05,54
104,1192,7040.19,11-10-2022,54
105,832,8693.84,01-22-2020,40
106,381,5333.87,2022-01-17,58
107,925,6029.36,31/08/2020,46
108,963,3112.72,27/10/2020,17
109,415,8379.22,2023-12-13,62
110,473,6643.42,"Mar 17, 2021",7
111,280,8595.78,2021-12-11,22
112,1089,6658.51,26/03/2020,27
113,763,7209.77,02/02/2020,72
114,122,5289.46,05/02/2020,17
115,427,3165.97,25/03/2021,21
116,786,5053.38,"Sep 12, 2022",67
117,216,4846.30,2022-01-08,2
118,640,5691.92,"Nov 13, 2021",71
119,705,5092.79,2021-12-22,15
120,42,212.81,15/04/2022,41
121,742,1423.03,2023-06-05,51
122,747,2267.17,13/07/2023,10
123,512,1727.96,07-26-2022,33
124,879,168.88,06-01-2023,65
125,1111,1700.25,"Jul 15, 2021",31
126,1121,8217.89,26/06/2022,23
127,628,3682.39,2020-03-20,36
128,385,6200.76,05-30-2023,56
129,648,2827.78,2021-03-24,42
130,214,8406.29,09-10-2022,48
131,175,2430.36,2023-05-12,25
132,561,8621.53,02-03-2021,36
133,739,6700.11,11-08-2020,78
134,462,8551.77,27/08/2023,55
135,937,9351.54,08/05/2021,51
136,143,6354.56,03-19-2021,30
137,185,7998.53,2020-05-19,39
138,564,5083.98,06/12/2023,21
139,734,2625.52,01-30-2020,41
140,596,7552.84,08-04-2022,22
141,233,4379.63,08/04/2020,75
142,629,1444.88,2022-04-14,16
143,426,1490.68,05-02-2023,22
144,97,4694.91,02-21-2022,2
145,469,292.45,2021-11-21,52
146,946,4314.08,03-26-2020,16
147,878,4502.69,07/01/2023,44
148,494,6357.94,2023-04-21,52
149,462,355.52,02-28-2022,45
150,676,5401.38,29/04/2022,6
151,1168,1764.99,07-24-2023,31
152,979,2675.00,2023-11-08,26
153,799,7818.46,2023-06-13,39
154,799,4653.52,30/04/2020,14
155,805,4890.48,2020-08-15,23
156,1097,6840.79,08/11/2021,22
157,694,4273.88,2022-08-10,5
158,516,5946.95,2022-12-18,50
159,445,4875.09,05-02-2023,25
160,391,5418.41,2023-02-12,69
161,791,344.06,17/12/2022,10
162,204,7724.94,05-21-2021,42
163,204,1845.64,2022-11-08,66
164,675,6429.54,06-23-2021,73
165,172,8245.63,10-09-2023,24
166,123,192.08,12-06-2020,73
167,406,6906.56,"Jun 23, 2022",29
168,1028,9486.80,05-30-2023,62
169,707,3487.20,11-20-2020,29
170,856,6966.59,27/12/2022,44
171,10,2367.05,06-13-2020,58
172,803,5885.91,05-05-2022,21
173,1195,4687.56,2021-04-24,11
174,505,2897.09,01/07/2022,45
175,642,3294.71,2021-11-16,75
176,74,1265.04,2020-01-30,37
177,736,7901.22,2022-07-02,68
178,992,9116.42,30/09/2023,46
179,24,8420.23,"Feb 28, 2020",75
180,960,2185.85,15/08/2023,25
181,689,5891.15,21/04/2021,69
182,1057,446.03,2022-05-30,18
183,960,8666.73,26/07/2023,25
184,700,9327.24,04-28-2022,71
185,4,1246.18,2022-03-13,54
186,362,3407.03,2022-06-06,74
187,5,5293.62,04-23-2023,28
188,861,1636.10,2020-07-16,28
189,261,5012.86,2023-05-14,30
190,368,6912.03,08/06/2022,76
191,819,4791.81,10-08-2022,72
192,593,6818.68,2020-10-04,49
193,1140,4744.29,01-19-2022,8
194,122,6165.97,2023-08-26,5
195,496,7228.28,03-01-2020,66
196,451,1320.33,2021-03-08,6
197,600,2757.39,03-19-2020,12
198,734,821.73,09-20-2020,4
199,890,3580.25,2023-03-23,7
200,551,3346.75,2021-03-08,45
201,215,6012.91,12-30-2021,34
202,672,3226.01,21/10/2022,35
203,1009,3966.52,11-29-2020,52
204,569,1100.47,26/06/2023,58
205,268,3858.19,08-08-2021,59
206,1066,9470.44,01/03/2020,70
207,1170,343.90,2023-11-07,18
208,277,4963.73,2022-11-02,20
209,380,1188.09,2020-10-08,80
210,889,6100.76,05-22-2022,39
211,702,7752.43,2021-02-03,75
212,284,4434.49,20/03/2021,46
213,452,7877.13,12-11-2021,27
214,1103,2268.19,2020-12-17,71
215,158,9026.03,12-18-2020,15
216,326,4411.24,05-26-2020,62
217,1034,7431.32,2022-07-30,72
218,810,5934.24,04-04-2020,79
219,959,3474.20,06/11/2021,80
220,287,3876.07,2020-08-01,39
221,879,6894.58,2022-03-29,59
222,602,230.27,02-02-2020,17
223,49,2730.77,2021-05-08,20
224,597,4749.75,01-15-2020,15
225,834,9285.24,"Dec 02, 2022",73
226,195,8329.29,2021-12-28,14
227,898,5986.27,2021-08-29,21
228,660,7801.92,10/03/2022,43
229,390,1054.01,2023-10-22,15
230,1192,773.62,02/09/2023,26
231,1087,2643.22,2021-02-28,2
232,714,6769.14,2022-05-24,10
233,222,9316.83,04-25-2023,38
234,91,1004.70,12-11-2021,44
235,432,6463.01,2022-08-04,18
236,790,4775.52,07-22-2022,43
237,327,7673.17,05/02/2021,50
238,252,1570.68,"Apr 16, 2021",20
239,338,6218.22,2021-08-23,36
240,1113,6150.34,23/05/2021,56
241,976,7763.13,10-18-2023,31
242,763,2154.39,03-31-2022,35
243,437,150.99,2023-09-01,65
244,687,1563.51,12-27-2020,31
245,173,1239.41,2021-05-19,44
246,977,4956.69,26/10/2020,19
247,274,4857.54,2020-05-04,8
248,731,100.04,2021-06-19,79
249,972,8179.86,2021-10-23,33
250,327,6086.98,03-06-2020,8
251,186,3460.56,11/05/2023,58
252,1177,2679.42,12-23-2023,58
253,1005,5779.10,02/02/2023,46
254,157,2685.51,19/03/2022,38
255,737,428.68,2021-08-08,50
256,192,5900.87,"Jun 05, 2020",10
257,893,3267.04,2021-05-09,60
258,255,6110.92,05-20-2021,10
259,31,8314.95,2020-10-12,61
260,31,4090.11,2020-09-19,46
261,251,9175.08,24/02/2023,68
262,1066,9115.78,28/12/2020,26
263,878,1116.30,2021-05-05,42
264,727,8635.51,2022-04-20,54
265,1042,1201.41,2021-10-22,54
266,724,8126.04,2022-10-14,19
267,576,2550.17,2023-04-03,34
268,527,6931.53,11-11-2022,37
269,66,359.00,2021-01-27,46
270,341,2961.36,"Nov 19, 2020",16
271,406,4950.58,07-12-2021,52
272,758,5331.64,12-20-2022,62
273,39,7497.65,2021-10-27,25
274,266,2607.48,2020-09-06,24
275,794,220.98,2020-06-14,65
276,747,6833.73,2020-10-04,63
277,364,257.72,24/07/2023,31
278,66,713.37,2022-03-23,50
279,413,2148.56,14/07/2023,21
280,1041,8198.50,"Apr 07, 2021",16
281,1086,557.45,18/04/2023,34
282,239,6284.22,10-18-2022,79
283,219,1786.05,2020-07-01,51
284,797,8581.91,12-21-2022,45
285,267,5576.76,22/08/2023,29
286,678,1399.93,"Sep 30, 2022",71
287,48,829.40,12-05-2022,5
288,426,1320.90,10/05/2020,31
289,543,2244.46,14/07/2021,54
290,776,1056.13,2022-10-18,30
291,1170,3817.68,03/09/2020,52
292,476,4573.52,11/08/2020,9
293,500,5049.00,02-10-2020,40
294,680,8601.51,"Oct 02, 2023",1
295,1124,735.70,12-28-2021,70
296,328,3184.42,2020-01-17,48
297,1135,8672.95,2023-10-17,76
298,25,7856.95,02-07-2021,22
299,1153,3466.62,08-01-2021,56
300,286,8584.04,2023-06-27,62
301,5,9217.10,10-11-2022,51
302,160,7178.06,13/12/2022,21
303,288,2057.19,2020-03-17,80
304,1127,2534.42,2023-04-25,10
305,249,4448.37,2021-03-05,16
306,665,3202.48,04/10/2020,14
307,137,5896.50,12-23-2021,23
308,898,5477.58,03-28-2023,21
309,425,1643.65,08-03-2022,46
310,383,6107.50,2020-03-09,2
311,363,248.63,2022-09-16,13
312,890,5420.57,03-23-2021,15
313,59,2948.18,2020-09-26,18
314,859,9266.50,10-06-2020,64
315,295,1119.58,05-06-2022,43
316,130,2951.77,07/07/2020,1
317,779,6419.67,2020-01-16,51
318,953,8564.58,29/10/2020,56
319,269,5233.68,17/06/2023,17
320,294,1555.79,11/06/2023,44
321,246,2892.02,2021-06-01,69
322,595,5757.30,12/03/2020,79
323,905,3794.83,2021-06-19,68
324,714,8392.08,2022-08-29,35
325,299,2939.81,06/03/2021,65
326,263,6426.26,23/07/2022,55
327,780,8532.06,12-24-2023,65
328,1127,913.88,05-08-2023,35
329,312,6851.01,2022-12-07,69
330,820,8272.21,2023-09-17,41
331,1118,3452.26,2020-04-25,60
332,898,4715.26,09-23-2021,63
333,99,6343.64,01/02/2022,63
334,922,7573.53,09-11-2022,3
335,150,2619.89,2022-03-28,31
336,1115,3714.31,2022-07-09,58
337,67,4400.09,2020-01-24,12
338,221,4027.68,05-31-2021,12
339,1200,3455.83,2023-08-30,16
340,787,3262.30,"Oct 04, 2022",65
341,757,2368.02,"Nov 13, 2022",15
342,259,4811.20,2021-04-09,14
343,365,1311.83,03-26-2023,38
344,981,357.29,"Aug 29, 2022",16
345,835,1513.25,2023-09-30,79
346,435,6640.31,01-24-2022,16
347,101,7693.75,10-06-2023,25
348,310,4361.53,2023-06-28,42
349,101,7118.88,05-30-2020,54
350,980,2701.45,2023-01-15,3
351,208,1187.38,30/08/2023,45
352,344,7086.48,2022-05-20,69
353,252,316.23,06-22-2023,45
354,105,7160.13,2023-12-20,42
355,1058,6167.27,10-31-2021,28
356,154,5091.43,20/05/2023,37
357,551,3049.42,16/09/2021,79
358,122,4021.56,01-08-2022,15
359,431,7283.43,2023-06-26,60
360,947,1626.88,18/08/2023,24
361,72,1955.23,2022-02-16,16
362,218,8582.72,26/06/2020,57
363,258,1109.98,01/12/2020,34
364,946,4214.19,12-24-2020,17
365,225,6333.05,2023-01-31,49
366,353,5624.49,2021-05-26,20
367,982,2440.40,05-21-2022,52
368,323,6903.49,"Jun 07, 2020",41
369,203,5328.01,14/11/2023,23
370,1152,1306.40,2020-05-14,5
371,888,4633.24,09-29-2020,7
372,532,3054.37,2020-03-11,31
373,981,9441.31,26/01/2023,19
374,719,9346.67,04-07-2023,12
375,1122,902.40,07/03/2020,58
376,491,654.39,2023-04-04,39
377,607,9090.09,2022-12-15,79
378,135,1312.49,2023-06-10,1
379,726,4006.19,2022-07-25,12
380,620,2089.93,10-27-2022,45
381,116,7618.32,19/04/2023,78
382,1170,700.08,"Mar 25, 2020",22
383,638,1027.77,17/01/2021,26
384,175,3108.90,2022-12-23,43
385,704,9409.27,14/10/2023,52
386,233,1229.48,30/01/2022,14
387,1108,1410.51,07/03/2022,67
388,550,2326.62,12-27-2023,20
389,562,2140.90,05-03-2022,74
390,765,2132.21,2021-05-29,44
391,939,1585.45,2020-02-18,49
392,254,6228.46,13/02/2021,27
393,160,9438.70,2022-09-14,44
394,866,1628.85,05-07-2020,9
395,675,8459.63,2022-12-02,7
396,1054,6443.13,01/04/2022,71
397,720,7129.68,2023-01-17,31
398,39,2087.12,08-23-2022,22
399,655,4583.30,2021-11-07,69
400,27,2372.72,22/07/2023,18
401,977,6759.33,2023-10-03,3
402,62,2104.26,08/09/2021,64
403,1200,1998.53,2023-07-03,17
404,462,3912.19,11/05/2020,10
405,104,698.10,02-14-2023,17
406,878,302.61,2023-06-25,20
407,555,2958.67,19/07/2022,18
408,293,297.23,"Aug 30, 2021",60
409,750,4574.51,12/11/2020,62
410,743,3278.89,02-11-2020,11
411,991,6137.77,19/03/2020,22
412,916,7245.97,05-11-2022,4
413,713,6825.53,2021-08-01,62
414,1060,2210.92,"Apr 25, 2021",27
415,361,8243.58,2023-03-09,24
416,311,174.55,2020-01-30,73
417,564,5546.24,18/06/2022,55
418,1176,4942.30,2020-03-18,76
419,362,8520.62,2020-02-17,77
420,856,9155.25,2020-03-09,63
421,1144,2631.66,09-18-2020,5
422,158,2555.84,2022-07-19,52
423,231,9096.94,2023-09-23,44
424,563,8067.18,"Jun 24, 2021",13
425,970,7321.44,01-12-2020,26
426,885,8709.58,2022-01-03,12
427,899,1774.01,02-27-2022,58
428,189,7160.40,2023-09-15,25
429,482,8169.04,2023-09-09,79
430,653,1910.64,"Oct 18, 2022",42
431,1115,6341.51,2022-05-20,30
432,988,1138.47,2020-03-31,43
433,1016,6253.44,07-24-2023,14
434,193,3237.27,2022-02-20,71
435,758,7314.63,20/01/2020,49
436,473,7186.39,18/12/2022,72
437,254,4860.81,2023-06-02,36
438,1037,1695.89,2020-02-03,39
439,74,5435.68,2022-08-24,28
440,60,9486.99,03-24-2021,20
441,992,5409.84,21/02/2023,78
442,957,5051.67,05/07/2021,28
443,197,4715.94,"Nov 02, 2022",60
444,596,7699.07,09-10-2021,28
445,449,1145.43,09-27-2020,57
446,1146,4369.24,2021-07-19,47
447,777,7924.80,30/12/2023,36
448,439,5917.62,12/09/2022,38
449,413,4008.06,02-17-2021,22
450,788,5445.55,03/08/2020,53
451,314,496.78,2023-10-06,49
452,611,4946.46,09/08/2020,50
453,738,719.80,21/12/2022,51
454,238,3502.07,2020-12-07,8
455,858,590.36,02-04-2022,27
456,1103,3529.17,2023-05-30,69
457,400,4934.55,2020-04-21,25
458,625,6068.70,07-25-2022,32
459,701,5691.18,2020-12-07,4
460,137,7483.97,2022-12-27,74
461,834,8515.76,12-30-2021,34
462,944,4962.78,2023-10-26,20
463,240,4118.56,03/03/2022,24
464,876,4220.88,02/02/2022,41
465,783,5358.08,2023-10-20,76
466,87,6060.23,"Jan 08, 2021",48
467,722,9061.85,10-19-2021,11
468,326,7598.37,04/05/2022,12
469,742,7785.91,17/12/2022,26
470,545,2917.03,28/08/2023,44
471,853,9553.03,11/01/2023,34
472,497,1036.24,28/05/2021,4
473,1172,1852.61,10-31-2021,28
474,660,3635.24,2023-02-16,22
475,1054,2598.20,12-13-2020,37
476,820,5223.69,11-09-2023,22
477,1048,4570.36,06-08-2023,17
478,85,2659.01,23/08/2023,24
479,980,5867.74,01-08-2022,77
480,855,4811.13,02-12-2021,60
481,365,2770.69,2021-08-25,33
482,146,3718.29,12-10-2023,80
483,389,7762.35,08/05/2022,2
484,1177,5842.32,02-26-2022,67
485,297,1017.55,2020-09-20,52
486,1193,1531.50,2022-07-22,74
487,340,6467.68,2021-05-30,45
488,492,9267.43,30/08/2023,69
489,368,5176.18,2022-06-22,78
490,727,1987.37,17/04/2022,64
491,869,3464.81,12-30-2021,41
492,384,4112.16,2022-09-30,31
493,507,4082.41,19/07/2023,67
494,1152,6056.82,2021-01-21,40
495,294,3629.85,2022-03-19,36
496,1136,6670.92,21/11/2020,6
497,549,1967.31,2020-02-08,77
498,992,3616.39,04-04-2021,20
499,588,5707.56,2023-04-17,12
500,1091,1196.00,11-27-2022,46
501,1016,9286.92,"Nov 02, 2023",54
502,742,921.96,2023-08-15,16
503,376,3377.41,2021-11-04,57
504,381,6280.39,"Jan 23, 2021",54
505,894,6730.03,"Feb 01, 2020",55
506,278,6468.80,2023-11-30,63
507,760,1614.80,11-28-2022,54
508,452,6205.99,2022-01-20,35
509,578,1394.73,"Feb 20, 2023",51
510,120,1632.60,2022-09-02,23
511,86,7953.93,07-03-2023,29
512,1120,2590.65,2021-02-06,48
513,411,492.26,10/06/2021,52
514,1113,4068.43,03-11-2020,57
515,672,8914.66,01-01-2020,69
516,909,9381.53,2022-01-26,62
517,264,9179.16,2020-10-08,17
518,334,6585.67,08-03-2022,60
519,1082,3767.93,06/03/2020,10
520,458,2865.01,24/07/2021,68
521,1098,9511.85,2021-08-06,54
522,91,7075.45,"Jul 05, 2023",69
523,1172,4577.65,03-12-2022,71
524,815,2473.02,21/11/2020,68
525,639,1578.80,07-13-2022,65
526,1093,580.21,2022-02-04,33
527,913,5133.65,21/10/2023,61
528,150,8626.21,2021-06-06,32
529,481,3811.81,17/09/2022,10
530,1182,6930.77,17/10/2021,59
531,767,3737.87,29/05/2021,8
532,151,9594.24,2020-07-19,4
533,367,2595.14,2021-08-17,64
534,418,4854.37,09-16-2023,12
535,190,7248.60,29/01/2021,19
536,1080,6666.74,"Sep 11, 2022",17
537,1195,4162.84,2020-04-25,26
538,635,2098.14,2023-01-13,8
539,1147,7328.37,04-10-2023,71
540,899,4986.70,09-27-2022,48
541,930,2419.63,2023-07-13,1
542,1010,5931.31,2022-03-07,5
543,278,6713.40,03-23-2022,30
544,1197,9191.60,05-25-2020,65
545,788,4169.55,17/02/2022,55
546,863,2030.52,2023-02-03,71
547,1132,5020.25,06-01-2021,69
548,543,4330.38,06-11-2023,63
549,164,5372.97,2023-03-10,52
550,662,7379.09,2020-01-15,29
551,958,8453.28,2020-07-05,18
552,648,1692.75,10-10-2022,3
553,890,6756.74,17/10/2020,69
554,210,6841.84,2020-03-24,29
555,366,8038.27,2023-02-28,35
556,525,5021.76,2021-12-25,15
557,217,5409.08,2021-10-12,13
558,581,6562.99,03-07-2021,25
559,194,9523.41,09-15-2021,1
560,476,3369.39,2021-08-05,41
561,298,1049.98,2020-12-03,74
562,168,6017.78,06-08-2020,44
563,283,6097.26,2022-03-15,62
564,1082,2504.70,"Jun 08, 2023",59
565,222,3941.92,2021-01-10,67
566,823,6441.27,06-26-2022,7
567,697,4749.86,2022-03-19,52
568,735,2433.46,06-12-2023,31
569,350,5661.89,2021-02-04,13
570,307,8410.11,08-20-2021,46
571,1126,2392.47,03-03-2021,21
572,972,5389.77,2021-08-07,17
573,919,9452.19,02-13-2021,51
574,1073,7007.62,06-19-2022,58
575,15,6229.89,"Sep 17, 2020",48
576,648,7957.90,30/04/2022,55
577,566,4943.28,02-23-2022,28
578,206,4703.17,2022-06-20,15
579,1060,743.59,11/11/2021,63
580,686,8324.75,09-09-2023,37
581,99,6872.19,31/05/2022,62
582,621,8337.58,"Sep 09, 2021",16
583,700,3074.69,2023-09-18,72
584,651,3684.42,04-05-2023,73
585,790,3421.07,2020-06-06,77
586,293,5751.98,"Apr 23, 2020",40
587,162,4655.13,10/04/2020,7
588,557,5314.37,20/11/2022,9
589,729,112.13,01-05-2023,61
590,1058,7837.64,2022-09-22,68
591,1178,4237.67,12-04-2023,56
592,1092,1784.68,18/12/2020,69
593,303,103.28,02-06-2021,48
594,1182,7842.76,2021-04-26,17
595,759,701.76,09-03-2020,33
596,1004,9217.89,05-31-2023,68
597,700,8940.38,2022-10-17,38
598,611,900.98,04-07-2023,26
599,267,6584.69,2022-05-10,39
600,566,6237.23,2023-03-31,68
601,602,4909.21,14/02/2022,22
602,37,1073.24,19/10/2021,74
603,77,925.01,"Aug 19, 2021",23
604,488,3975.38,2020-07-26,14
605,13,2388.40,05/08/2021,14
606,677,7953.83,2021-05-09,58
607,170,8838.08,2020-05-23,21
608,247,2055.28,10-22-2020,25
609,784,4363.69,05/02/2020,80
610,241,7581.10,10/10/2020,21
611,929,8128.42,2020-02-17,57
612,1188,4642.78,26/02/2021,45
613,566,3052.20,2020-11-04,63
614,1023,8302.77,04/09/2023,21
615,941,3735.58,2021-03-09,49
616,1151,4092.95,10-04-2021,73
617,1143,1523.57,2023-10-04,80
618,613,3386.64,08-18-2022,36
619,350,4076.86,01/12/2021,73
620,830,6403.66,22/08/2023,48
621,583,841.76,27/06/2022,57
622,23,6223.76,"Sep 03, 2020",75
623,967,8720.08,10-19-2022,10
624,397,6369.84,"Jun 27, 2023",23
625,704,7187.09,2022-03-14,18
626,534,3577.11,06-18-2023,13
627,226,8327.47,06-07-2020,39
628,1169,5721.49,2021-05-19,79
629,44,5986.59,2022-06-11,34
630,380,6187.31,03-15-2022,34
631,803,8789.08,2021-07-13,10
632,756,3473.18,2021-01-02,37
633,495,7003.16,2021-08-24,15
634,587,6306.62,"Dec 26, 2020",78
635,584,481.43,2021-02-08,61
636,1008,1789.58,31/07/2021,16
637,653,4055.10,26/08/2022,79
638,1121,1378.00,12-14-2021,25
639,363,7408.31,2022-01-26,3
640,935,2079.25,2021-02-25,58
641,981,4079.65,09-14-2022,69
642,39,2046.16,02-05-2023,26
643,189,4362.24,01/12/2023,39
644,344,2895.86,2021-09-14,62
645,610,5571.27,04/06/2020,39
646,461,2207.41,"Jan 27, 2022",31
647,571,1779.11,08-24-2023,51
648,808,2109.24,2022-09-03,64
649,412,8742.15,10-05-2021,52
650,972,7049.04,2023-08-14,30
651,479,4855.14,09-27-2022,30
652,357,486.65,30/06/2023,12
653,141,6428.31,2022-06-29,8
654,1149,8565.30,07/12/2022,13
655,138,4429.58,10/04/2022,34
656,1170,687.31,12-02-2020,32
657,448,6839.11,10-16-2021,63
658,119,5854.83,05-20-2022,72
659,918,5935.47,04-11-2020,22
660,158,3362.35,2022-10-12,46
661,1143,2992.21,03/10/2021,4
662,6,1693.65,21/10/2020,41
663,632,1961.25,2021-10-28,3
664,655,1031.31,10-31-2023,37
665,360,4610.44,2022-01-05,23
666,764,108.94,08-14-2022,64
667,819,6122.25,08/09/2020,76
668,211,2583.64,2021-01-17,47
669,773,2132.73,2021-04-03,52
670,94,8491.13,2023-01-04,69
671,613,2624.18,2021-01-24,77
672,909,930.17,"Apr 03, 2023",12
673,29,680.24,2020-06-17,8
674,882,446.38,13/10/2020,24
675,219,1881.54,2021-05-25,13
676,1113,5511.28,2021-09-08,50
677,649,357.63,2020-06-07,65
678,306,7757.06,2020-12-01,57
679,336,1405.59,11-14-2022,11
680,628,3511.70,07-19-2020,57
681,1190,7747.45,2020-05-24,49
682,216,5660.06,25/01/2023,4
683,316,7784.42,2023-01-19,51
684,212,9329.73,09/03/2023,1
685,349,1429.01,04-14-2023,27
686,1099,6854.72,2021-10-27,22
687,501,7043.00,02-09-2021,51
688,28,2981.75,23/12/2020,5
689,252,9207.53,2023-02-03,51
690,541,6373.51,2020-04-26,48
691,957,9086.70,07-12-2023,47
692,896,2195.82,2021-01-22,29
693,484,970.51,"Aug 13, 2020",68
694,1063,7776.11,25/01/2020,67
695,369,7533.77,07-30-2020,47
696,135,2624.71,2021-04-25,63
697,840,1783.45,21/01/2021,1
698,671,5707.34,30/06/2023,28
699,890,1122.71,12-21-2022,15
700,998,4609.92,"Dec 13, 2023",49
701,17,1823.79,03-07-2020,24
702,1159,8698.15,01-08-2023,10
703,265,4342.83,2020-07-03,8
704,910,3350.01,2021-12-31,37
705,5,7950.76,2023-05-30,30
706,50,4353.50,05-23-2021,21
707,995,8936.69,12-25-2023,37
708,47,8601.18,16/06/2021,31
709,389,9509.53,"Oct 23, 2022",35
710,494,2886.73,2022-01-23,17
711,668,1666.11,2023-06-22,54
712,181,5487.96,2022-07-10,1
713,1034,414.23,10/12/2023,9
714,797,841.80,2022-05-04,32
715,372,6996.80,2023-12-16,69
716,902,2536.54,08/12/2023,80
717,408,5703.38,2022-02-07,24
718,732,7343.21,2022-02-24,35
719,566,1448.88,09-14-2023,42
720,466,9589.84,30/07/2023,1
721,69,7670.99,14/10/2023,16
722,751,6029.56,26/08/2022,17
723,586,5296.01,20/10/2020,67
724,158,1205.62,03/07/2020,6
725,622,2859.35,23/03/2020,11
726,1133,9119.85,2022-02-12,17
727,291,2257.40,2021-04-08,80
728,15,7265.64,08-20-2022,62
729,285,7836.10,09-14-2023,4
730,800,7315.24,05/06/2020,29
731,940,8845.55,10/11/2021,3
732,225,2993.16,2021-11-25,80
733,1060,7568.93,28/02/2022,63
734,707,7241.24,02-12-2020,73
735,131,6951.78,2022-10-21,65
736,1003,2698.71,2021-08-25,67
737,786,6348.81,02-02-2021,60
738,355,4348.70,11-11-2023,77
739,421,5639.82,09-04-2022,32
740,465,2080.73,2021-06-07,47
741,1152,5590.59,2020-12-09,78
742,214,5042.55,2021-01-13,68
743,808,6756.37,2022-06-20,51
744,698,4784.50,"Sep 20, 2020",9
745,993,4885.67,04/02/2022,35
746,1170,3018.64,2023-10-30,26
747,754,5614.84,2021-08-31,60
748,682,217.15,2020-09-02,11
749,1050,7558.29,02-24-2021,37
750,499,2441.61,"Jul 03, 2021",7
751,558,9563.16,02-22-2022,57
752,81,9060.73,10/11/2023,69
753,1174,1948.20,07-22-2021,18
754,600,214.08,18/04/2020,75
755,623,1275.08,2021-10-21,4
756,895,2186.93,03-04-2023,47
757,1039,4675.96,08-10-2021,77
758,406,920.18,2022-06-21,46
759,707,9309.85,05/01/2020,14
